Word:              |  1  |  2  |  3  |  4  |  5  |  6  |  7  |  8  |  9  |  10 |  11 |  12 |  13 |  14 |  15 |  16 |  17 |  
structure          |     |     |     |     |     |  *  |     |     |     |     |     |     |     |     |     |     |     |
value              |     |     |     |     |     |  *  |     |     |     |     |     |     |     |     |     |     |     |
only               |     |     |     |     |     |     |     |  *  |     |     |     |     |  *  |     |     |     |     |
functions          |     |     |     |     |     |     |     |  *  |     |     |     |     |     |     |     |     |     |
examples           |  *  |     |     |     |     |     |     |     |     |     |     |     |  *  |     |     |     |     |
based              |     |     |     |  *  |     |     |     |     |     |     |     |     |     |     |     |     |     |
by                 |     |     |     |     |     |     |     |  *  |     |     |     |     |  *  |     |     |     |     |
Here               |     |     |     |     |     |     |     |  *  |     |     |     |     |  *  |     |     |     |     |
ones               |     |     |     |     |     |     |     |  *  |     |     |     |     |  *  |     |     |     |     |
The                |  *  |     |     |     |     |  *  |     |     |     |     |  *  |     |     |     |     |  *  |     |
as                 |  *  |     |     |  *  |     |  *  |     |     |     |     |     |     |     |     |     |     |     |
storage            |  *  |     |     |  *  |     |     |     |     |     |     |     |     |     |     |     |  *  |     |
y                  |     |     |     |     |     |     |     |     |     |  *  |     |  *  |     |     |     |     |     |
multiset           |  *  |     |     |     |     |     |     |     |     |     |  *  |     |     |     |     |     |     |
same               |     |     |     |     |     |     |     |     |     |     |     |     |  *  |     |     |  *  |     |
set                |  *  |     |     |     |     |     |     |     |     |     |  *  |     |     |     |     |  *  |     |
that               |  *  |     |     |     |     |     |     |     |     |     |     |     |  *  |     |     |  *  |     |
order              |     |     |     |     |     |     |     |     |     |     |     |     |  *  |     |     |  *  |     |
stored             |     |     |     |     |     |     |     |     |     |     |     |     |  *  |     |     |  *  |     |
